"id","name","text","chatText","mailboxId","mailboxName"
"1411904","Account Management UpdateCreditCardGoogle","Hi&nbsp;{%customer.firstName,fallback=there%},<br><br>Thanks for writing to us! You subscribed in the Google Play Store so your subscription's set up through that account. This article will give you the steps to update&nbsp;your payment method in Google Play: <a href=""https://support.google.com/googleplay/answer/4646404?co=GENIE.Platform%3DAndroid&amp;hl=en"">How to add, remove, or edit your Google Play payment method</a>.<br><br>How's your mindfulness meditation practicing going? Is there anything we can help you find in our libraries or are there any questions we can answer about the app?<br><br>Write anytime with questions — we're here for it!<br>{%user.firstName%}<br>","","185235","1. Happier Support"
"3652219","AccountManagement AccountInformationApple","Hi {%customer.firstName,fallback=there%},<br><br>Thanks for meditating with us! It's great to hear from you. You're subscribed to Happier Meditation through Apple's App Store so they manage your subscription. They send us some basic information but their website <a href=""https://support.apple.com/en-us/HT204088"">Apple Manage Subscriptions Webpage</a> is the place to see the details and make changes.&nbsp;<br><br>You can also find information about your subscription in the app settings. Check out these Help Center articles:<br><ul><li><a href=""https://support.meditatehappier.com/article/150-find-out-when-your-subscription-ends"">Find Out When Your Subscription Ends</a><br></li><li><a href=""https://support.meditatehappier.com/article/60-manage-apple-subscription"">Managing an Apple Subscription</a><br></li></ul><br>How's your mindfulness meditation practice going? Is there anything we can help you find in our libraries or are there any questions we can answer about the app? We're here to help.<br><br>Keep up the good work!<br>{%user.firstName%}<br>","","185235","1. Happier Support"
"3652227","AccountManagement AccountInformationGoogle FILLIN","Hi {%customer.firstName,fallback=there%},<br><br>Thanks for meditating with us! You're subscribed to Happier Meditation through Google Play and your subscription's set to <b>Renew/ExpireOnDATE</b>. <br><br>If this meets your needs, you're all set. If you want to make any changes write back to us here at <a href=""mailto:support@meditatehappier.com"">support@meditatehappier.com</a>.<br><br>There are also details about your account in the app settings. Check out these Help Center articles:<br><ul><li><a href=""https://support.meditatehappier.com/article/150-find-out-when-your-subscription-ends"">Find Out When Your Subscription Ends</a><br></li><li><a href=""https://support.meditatehappier.com/article/61-manage-google-subscription"">Managing a Google Subscription</a><br></li></ul><br>How's your mindfulness meditation going? Is there anything we can help you find in our libraries or are there any questions we can answer about the app?<br><br>Keep practicing!<br>{%user.firstName%}<br>","","185235","1. Happier Support"
"3652245","AccountManagement AccountInformationStripe FILLIN","Hi {%customer.firstName,fallback=there%},<br><br>Thanks for meditating with us! You bought your Happier Meditation subscription on our website and it's set to <b>Renew/ExpireOnDATE</b> at the standard rate of $99.99USD/year using your credit card on file. <br><br>If this works for you, you're all set. If you want to make any changes write back to us here at <a href=""mailto:support@meditatehappier.com"">support@meditatehappier.com</a>.<br><br>How's your mindfulness meditation going? Is there anything we can help you find in our libraries or are there any questions we can answer about the app? We're here to help.<br><br>Keep practicing!<br>{%user.firstName%}<br>","","185235","1. Happier Support"
"3634369","AccountManagement CleanUpConfirmation FILLIN","Hi {%customer.firstName,fallback=there%},<br><br>Thanks for getting back to me about your extra account. I got everything combined so you've got one account registered to <b>ACCOUNTADDRESS</b>. <br><br>Use that to sign into everything that's Happier Meditation and be sure to tap <i>Already have an account? Sign In</i> both on our website and in the app.<br><br>I hope you have a good day and please let us know if we can help with anything else,<br>{%user.firstName%} <br>","","185235","1. Happier Support"
"3634353","AccountManagement CleanUpOffer FILLIN SNIPPET","It turns out you've got more than one Happier Meditation account and I'd be happy to help you combine them so you don't get extra email from us and it's easier to sign in. Here's what I see:<br><ul><li><b>Account #1 Address and subscription state</b><br></li><li><b>Account #2 Address and subscription state</b><br></li></ul><br>Would you let me know what address you want to use going forward? I'll get everything fixed on this end and confirm it with you when I'm done.<br>","","185235","1. Happier Support"
"1409796","AccountManagement DeleteAccountActiveSubscription","Hi {%customer.firstName,fallback=there%},<br><br>We got the request to delete your account registered to {%customer.email,fallback= %} but since there's an active subscription on it, we need to have you acknowledge that:&nbsp;<br><ol><li>You're forfeiting your right to any existing subscription access you may have purchased or received for the Happier Meditation app.<br></li><li>You'll lose your app history.<br></li><li>If you want to use the app again in the future, you'll need to register again.<br></li><li>This account deletion cannot be undone.<br></li></ol><br>Would you write back to confirm that you still want us to delete your Happier Meditation account? <br><br>We can also help you get signed in if you want to use your subscription.<br><br>I look forward to hearing back from you,<br>{%user.firstName%}<br>","","185235","1. Happier Support"
"1409778","AccountManagement DeleteAccountCompletedByUs","Hi {%customer.firstName,fallback=there%},<br><br>Thanks for meditating with us. I deleted your account registered to {%customer.email,fallback= %} and all traces of your data will be completely removed from the Happier Meditation systems within 30 days.&nbsp;<br><br>Let us know if we can support your mindfulness in the future.<br><br>Best wishes,<br>{%user.firstName%}<br>","","185235","1. Happier Support"
"1839061","AccountManagement DeleteAccountHasPromoGuestGiftSub FILLIN","Hi&nbsp;{%customer.firstName,fallback=there%},<br><br>Thanks for meditating with us. Your email address {%customer.email,fallback= %} has a free subscription on it. There are no pending charges and nothing to cancel so I didn't want to delete it without checking to see if you want to use it until the subscription expires on <strong>DATE</strong>. We can help you get signed in if you're not using it now.<br><br>If you'd rather delete your account, please confirm that you approve forfeiting the remainder of your free access. <br><br>Also, if you were charged by us, you might have another account here registered to a different email address. If so, let me know and I'll work with you to get everything sorted out.<br><br>I hope you have a good day and please let us know if we can help with anything else.&nbsp;<br><br>Stay mindful out there!<br>{%user.firstName%}<br>","","185235","1. Happier Support"
"3789468","AccountManagement DeletedAccountCompletedByCustomer","Hi&nbsp;{%customer.firstName,fallback=there%},<br><br>Thanks for meditating with us. I can confirm that you deleted your account registered to {%customer.email,fallback= %}&nbsp;and all traces of your data will be completely removed from our systems within 30 days.&nbsp;<br><br>If you had an active subscription, here's what happens to it:<br><ul><li>If you started a free trial or subscription on our website, it was automatically canceled when you deleted your account.&nbsp;If you bought your subscription in the past 30 days, send us the last four digits of the credit card used, the date and amount of the payment and we'll try to send you a refund.<br></li><li>If you started a free trial or subscription through Google Play or the App Store, deleting your account&nbsp;<em>doesn't</em>&nbsp;cancel the membership. Please look at your accounts and cancel through them.<br><ul><li><a href=""https://support.apple.com/en-us/HT204088"">Apple Manage Subscriptions Webpage</a><br></li><li><a href=""https://support.google.com/googleplay/answer/7018481?co=GENIE.Platform%3DAndroid&amp;hl=en"">Google Play Subscription management</a><br></li></ul></li></ul>Let us know if we can support your mindfulness in the future.<br><br>Best wishes,<br>{%user.firstName%}<br>","","185235","1. Happier Support"
"3656739","AccountManagement EmailUnsubscribe","Hi {%customer.firstName,fallback=there%},<br><br>Thanks for meditating with us. I unsubscribed your {%customer.email,fallback= %} address so we won't send more email to it but you can keep using the app with that account. If you need to get signed into it, check out the steps in our Help Center article <a href=""https://support.meditatehappier.com/article/52-sign-into-happier-with-an-existing-account"">Sign Into Happier Meditation With an Existing Account</a>. <br><br>If you'd rather have us delete your account entirely, just let us know.<br><br>Your free account has access to The Basics and The Guide to Happiness courses along with about 50 guided meditations in the Singles section of the app.&nbsp;<br><br>Stay mindful out there!<br>{%user.firstName%}<br>","","185235","1. Happier Support"
"3652257","AccountManagement EmailUpdated FILLIN","Hi {%customer.firstName,fallback= there%},<br><br>Thanks for meditating with us! I changed your account registration to <strong>NEWEMAIL</strong> and left your password the same.&nbsp;<br><br>How's your mindfulness meditation practice going? Is there anything we can help you find in our libraries or are there any questions we can answer about the app?&nbsp;<br><br>I hope you're having a good day,&nbsp;<br>{%user.firstName%}<br><hr>If your account registration isn't automatically updated please sign out of the app and sign back in. Here are some Help Center articles you might find handy:<br><ul><li><a href=""https://support.meditatehappier.com/article/92-how-can-i-tell-what-email-my-accounts-registered-to"">How to Tell What Address Your App is Signed Into</a><br></li><li><a href=""https://support.meditatehappier.com/article/51-how-to-sign-out-of-the-ten-percent-happier-app"">Sign Out of the Happier Meditation App</a><br></li><li><a href=""https://support.meditatehappier.com/article/52-sign-into-happier-with-an-existing-account"">Sign Into Happier Meditation With An Existing Account</a><br></li><li><a href=""https://support.meditatehappier.com/article/15-how-do-i-reset-my-password"">Reset Your Password</a><br></li></ul>","","185235","1. Happier Support"
"3652274","AccountManagement EmailUpdatedFromSIWA","Hi {%customer.firstName,fallback=there%},<br><br>Thanks for meditating with us! I changed your account registration to <strong>NEWEMAIL</strong>. Since the account was created using Sign in with Apple, you'll need to give it a password the next time you sign in. Here's the <a href=""https://my.meditatehappier.com/passwords/new"">password reset link</a>.<br><br>How's your meditation practice going? Is there anything we can help you find in our libraries or are there any questions we can answer about the app?&nbsp;<br><br>I hope you have a good day and please let us know if we can help with anything else.&nbsp;<br><br>Stay mindful out there,<br>{%user.firstName%}<br><hr>If it isn't automatically updated please sign out of the app and sign back in. Here are some Help Center articles you might find handy:<br><ul><li><a href=""https://support.meditatehappier.com/article/92-how-can-i-tell-what-email-my-accounts-registered-to"">How to Tell What Address Your App is Signed Into</a><br></li><li><a href=""https://support.meditatehappier.com/article/51-how-to-sign-out-of-the-ten-percent-happier-app"">Sign Out of the Happier Meditation App</a><br></li><li><a href=""https://support.meditatehappier.com/article/52-sign-into-happier-with-an-existing-account"">Sign Into Happier Meditation With An Existing Account</a><br></li></ul>","","185235","1. Happier Support"
"1634258","AccountManagement NameUpdated","Hi {%customer.firstName,fallback=there%},<br><br>Thanks for meditating with us! I updated the name on your account so you're all set.<br><br>How's your mindfulness meditation going? Is there anything we can help you find in our libraries or are there any questions we can answer about the app?&nbsp;<br><br>Write back anytime - we're here to help.<br><br>Stay mindful out there,<br>{%user.firstName%}<br>","","185235","1. Happier Support"
"3657586","AccountManagement Password ResetAfterFixingInvalidEmailInBraze","Hi {%customer.firstName,fallback=there%},<br><br>I'm {%user.firstName%} from the Support team here to help. I made a change to your email address in our systems that should fix the problem. Would you give the <a href=""https://my.meditatehappier.com/passwords/new"">password reset link</a> another try? You should get your email this time. If you don't, let me know as soon as you can and I'll get it figured out from here.<br><br>Our Help Center article <a href=""https://support.meditatehappier.com/article/52-sign-into-happier-with-an-existing-account"">Sign Into Happier Meditation With an Existing Account</a> might also have some helpful info.<br><br>Thanks for meditating with us! Write back anytime — we're here to help.<br><br>Stay mindful out there,&nbsp;<br>{%user.firstName%}&nbsp;<br>","","185235","1. Happier Support"
